key,time,energy,KV,VV,value
MONTH,1,8.93,0.247,0.238,9.415
MONTH,2,12.27,0.239,0.2,12.709
MONTH,3,9.04,0.249,0.214,9.503
MONTH,4,9.45,0.176,0.141,9.767
MONTH,5,21.65,0.43,0.317,22.397
MONTH,6,11.12,0.241,0.168,11.529
MONTH,7,7.27,0.199,0.208,7.677
MONTH,8,7.28,0.196,0.213,7.689
MONTH,9,8.01,0.249,0.271,8.53
MONTH,10,10.6,0.186,0.197,10.983
MONTH,11,9.05,0.289,0.298,9.637
MONTH,12,21.6,0.464,0.367,22.431
MONTH,13,6.93,0.146,0.128,7.204
MONTH,14,8.28,0.237,0.237,8.754
MONTH,15,8.47,0.199,0.209,8.878
MONTH,16,7.47,0.18,0.192,7.842
MONTH,17,7.81,0.222,0.181,8.213
MONTH,18,6.46,0.104,0.1,6.664
MONTH,19,22.73,0.467,0.326,23.523
MONTH,20,7.83,0.116,0.102,8.048
MONTH,21,8.17,0.212,0.248,8.63
MONTH,22,8.71,0.156,0.14,9.006
MONTH,23,6.42,0.204,0.199,6.823
MONTH,24,9.03,0.286,0.264,9.58
MONTH,25,9.86,0.298,0.259,10.417
MONTH,26,22.43,0.472,0.292,23.194
MONTH,27,8.02,0.221,0.193,8.434
MONTH,28,7.56,0.207,0.217,7.984
MONTH,29,7.85,0.229,0.219,8.298
MONTH,30,6.74,0.198,0.141,7.079